city,city_lat,city_lon,farm_name,farm_lat,farm_lon
Москва,55.7505412,37.6174782,Ферма 1 (Москва),55.79271340848118,37.6180810326148
Москва,55.7505412,37.6174782,Ферма 2 (Москва),55.85046426022803,37.61840115615539
Москва,55.7505412,37.6174782,Ферма 3 (Москва),55.71682548996427,37.64175199833995
Москва,55.7505412,37.6174782,Ферма 4 (Москва),55.717003286043095,37.633054681622546
Москва,55.7505412,37.6174782,Ферма 5 (Москва),55.70647674163713,37.62142788120315
Санкт-Петербург,59.938732,30.316229,Ферма 1 (Санкт-Петербург),60.00360107951811,30.32125347495419
Санкт-Петербург,59.938732,30.316229,Ферма 2 (Санкт-Петербург),59.8875264154222,30.30768402483868
Санкт-Петербург,59.938732,30.316229,Ферма 3 (Санкт-Петербург),60.0034854427049,30.334047250180895
Санкт-Петербург,59.938732,30.316229,Ферма 4 (Санкт-Петербург),59.89870476985976,30.35528028828038
Санкт-Петербург,59.938732,30.316229,Ферма 5 (Санкт-Петербург),60.03581240504234,30.253995565324704
Новосибирск,54.96781445,82.95159894278376,Ферма 1 (Новосибирск),54.9609001161903,82.99980782133679
Новосибирск,54.96781445,82.95159894278376,Ферма 2 (Новосибирск),54.883492850453656,82.94990897919521
Новосибирск,54.96781445,82.95159894278376,Ферма 3 (Новосибирск),55.052449291173474,82.92028200646628
Новосибирск,54.96781445,82.95159894278376,Ферма 4 (Новосибирск),54.8848893713069,82.87042325391666
Новосибирск,54.96781445,82.95159894278376,Ферма 5 (Новосибирск),54.913267914468236,82.86994756496524
Екатеринбург,56.839104,60.60825,Ферма 1 (Екатеринбург),56.7446026786611,60.55440532453395
Екатеринбург,56.839104,60.60825,Ферма 2 (Екатеринбург),56.90920445024144,60.68674865843676
Екатеринбург,56.839104,60.60825,Ферма 3 (Екатеринбург),56.75507392371592,60.683962494534754
Екатеринбург,56.839104,60.60825,Ферма 4 (Екатеринбург),56.8540811381473,60.65700474864134
Екатеринбург,56.839104,60.60825,Ферма 5 (Екатеринбург),56.826141844694575,60.68118825220121
Казань,55.7823547,49.1242266,Ферма 1 (Казань),55.87833919301587,49.20978920185707
Казань,55.7823547,49.1242266,Ферма 2 (Казань),55.750700593083614,49.08405373963666
Казань,55.7823547,49.1242266,Ферма 3 (Казань),55.78008338208872,49.18377341536415
Казань,55.7823547,49.1242266,Ферма 4 (Казань),55.82796033799989,49.047537093003584
Казань,55.7823547,49.1242266,Ферма 5 (Казань),55.843010400343076,49.153426818712255
